ticket_id,customer_id,ticket_date,issue_category,support_channel,priority,resolution_hours,resolved_flag,satisfaction_score,repeat_contact_flag
TKT00025578,CUST010110,2025-08-17,Membership Billing,Phone,Medium,3.08,Yes,4,No
TKT00016780,CUST019258,2025-12-14,Delivery Problem,Social Media,Medium,1.12,Yes,5,No
TKT00032245,CUST032699,2026-05-01,Payment Failure,Help Center,High,10.99,Yes,5,Yes
TKT00027661,CUST037863,2025-03-21,Cancellation Request,Phone,Low,4.62,Yes,3,No
TKT00025452,CUST018527,2025-09-07,Delivery Problem,Chat,Medium,4.09,Yes,4,No
TKT00002379,CUST048666,2025-05-05,Membership Billing,Email,Medium,4.89,Yes,4,No
TKT00008628,CUST028605,2026-06-09,General Question,Chat,Low,13.72,Yes,4,No
TKT00025896,CUST024346,2026-05-11,General Question,Phone,High,1.11,Yes,4,No
TKT00031484,CUST014095,2026-05-09,Cancellation Request,Phone,Medium,13.79,Yes,4,No
TKT00024851,CUST030255,2026-04-05,Membership Billing,Help Center,Low,31.46,Yes,3,No
TKT00001794,CUST032685,2026-05-31,Account Access,Chat,High,5.05,Yes,4,No
TKT00029879,CUST047056,2025-05-29,Prime Video Issue,Chat,Low,12.63,Yes,3,No
TKT00003750,CUST002743,2026-04-18,Refund Request,Email,High,6.89,Yes,3,No
TKT00029810,CUST035838,2026-02-16,Delivery Problem,Phone,High,19.01,Yes,3,No
TKT00029078,CUST025364,2025-05-25,Prime Video Issue,Help Center,Low,13.88,Yes,4,Yes
TKT00034779,CUST043772,2026-06-02,Cancellation Request,Email,Low,42.48,Yes,3,No
TKT00016887,CUST045115,2026-05-14,Cancellation Request,Chat,Low,25.76,Yes,3,No
TKT00014655,CUST046374,2025-12-21,Account Access,Phone,High,8.56,Yes,3,Yes
TKT00024987,CUST031125,2025-10-12,Cancellation Request,Phone,Low,13.71,Yes,3,No
TKT00024663,CUST005883,2026-06-28,General Question,Email,Medium,,No,,No
TKT00021892,CUST024838,2025-08-19,Prime Video Issue,Chat,Medium,7.73,Yes,2,No
TKT00003034,CUST001771,2026-06-07,Refund Request,Phone,Medium,13.54,Yes,4,No
TKT00033122,CUST020665,2025-07-09,Cancellation Request,Help Center,Critical,2.9,Yes,3,No
TKT00031128,CUST030901,2025-04-30,Cancellation Request,Social Media,Low,15.91,Yes,2,No
TKT00014680,CUST017913,2026-05-28,Account Access,Chat,High,7.89,Yes,4,No
TKT00014334,CUST010325,2025-04-23,Cancellation Request,Chat,Low,11.32,Yes,3,No
TKT00017422,CUST035142,2025-12-13,Refund Request,Chat,High,23.78,Yes,5,No
TKT00031213,CUST044202,2025-11-17,General Question,Phone,Medium,7.18,Yes,3,Yes
TKT00018664,CUST016096,2026-01-30,Membership Billing,Phone,Low,4.54,Yes,3,No
TKT00025760,CUST047469,2025-09-09,Account Access,Email,Medium,11.1,Yes,4,No
TKT00008014,CUST040130,2026-05-23,Payment Failure,Chat,Low,9.47,Yes,3,No
TKT00025928,CUST047516,2025-12-09,Cancellation Request,Email,Medium,6.75,Yes,3,No
TKT00009396,CUST007064,2025-10-31,Cancellation Request,Social Media,High,5.37,Yes,4,Yes
TKT00015152,CUST011450,2025-08-27,Membership Billing,Social Media,Medium,5.99,Yes,4,No
TKT00007995,CUST036897,2025-11-25,Refund Request,Chat,Medium,4.88,Yes,3,No
TKT00034658,CUST013855,2026-03-07,Prime Video Issue,Phone,Medium,24.18,Yes,2,Yes
TKT00000036,CUST003177,2026-01-01,General Question,,Low,4.34,Yes,5,No
TKT00001398,CUST027224,2026-03-29,General Question,Phone,Medium,4.29,Yes,3,Yes
TKT00006445,CUST048436,2025-12-12,Account Access,Email,Medium,2.56,Yes,5,No
TKT00027956,CUST008377,2026-02-03,Cancellation Request,Phone,High,14.35,Yes,3,No
TKT00003642,CUST006673,2026-02-08,Membership Billing,Email,High,4.32,Yes,3,No
TKT00028242,CUST031336,2026-05-27,General Question,Chat,High,4.77,Yes,3,No
TKT00034721,CUST026476,2026-06-11,Membership Billing,Help Center,Low,14.06,Yes,3,No
TKT00014547,CUST036105,2024-09-26,Membership Billing,Help Center,Low,30.05,Yes,4,No
TKT00005304,CUST006606,2026-03-29,Payment Failure,Help Center,High,5.13,Yes,3,No
TKT00007138,CUST026398,2026-03-14,General Question,Email,Medium,2.56,Yes,4,No
TKT00027104,CUST024881,2025-08-29,Membership Billing,Phone,Medium,3.3,Yes,3,No
TKT00030109,CUST046462,2026-01-15,Prime Video Issue,Email,Medium,6.18,Yes,4,No
TKT00028866,CUST025678,2026-05-10,Cancellation Request,Help Center,Critical,8.21,Yes,4,No
TKT00024862,CUST045176,2025-09-07,Membership Billing,Phone,Medium,6.23,Yes,5,No
TKT00011410,CUST012182,2026-06-13,Prime Video Issue,Chat,Medium,5.77,Yes,4,No
TKT00012735,CUST040639,2025-04-23,Cancellation Request,Phone,Critical,1.17,Yes,5,No
TKT00012931,CUST013696,2025-09-27,Refund Request,Chat,Medium,3.97,Yes,3,No
TKT00024295,CUST027942,2026-06-28,General Question,Email,Low,10.57,Yes,4,No
TKT00032006,CUST027453,2025-10-01,Membership Billing,Email,High,10.58,Yes,3,No
TKT00027343,CUST048412,2025-11-14,Prime Video Issue,Phone,High,7.64,Yes,4,No
TKT00003656,CUST036690,2026-04-20,Cancellation Request,Email,Low,8.05,Yes,3,Yes
TKT00026692,CUST047479,2026-03-12,Prime Video Issue,Email,Low,,No,,Yes
TKT00024716,CUST024634,2026-01-11,Delivery Problem,Email,Medium,4.68,Yes,4,No
TKT00034326,CUST007946,2025-12-21,Prime Video Issue,Chat,Medium,5.05,Yes,5,No
TKT00013397,CUST042031,2025-10-06,Payment Failure,Email,Critical,,No,,No
TKT00010015,CUST040456,2025-07-28,General Question,Help Center,Medium,2.8,Yes,3,No
TKT00028969,CUST035759,2026-06-22,Delivery Problem,Phone,Medium,,No,,No
TKT00005746,CUST035377,2026-03-22,Cancellation Request,Phone,Medium,2.94,Yes,4,No
TKT00020845,CUST041228,2025-12-11,Refund Request,Email,Medium,6.57,Yes,4,No
TKT00010392,CUST012026,2025-07-01,General Question,Phone,Medium,15.97,Yes,4,Yes
TKT00020996,CUST027011,2026-06-03,Delivery Problem,Email,Medium,,No,,Yes
TKT00000465,CUST013133,2026-02-17,Membership Billing,Phone,Low,40.73,Yes,3,No
TKT00002611,CUST027715,2025-07-30,Account Access,Email,Medium,35.48,Yes,4,Yes
TKT00024919,CUST016954,2026-04-26,Prime Video Issue,Phone,High,4.06,Yes,4,No
TKT00012384,CUST028418,2025-12-02,Refund Request,Chat,High,1.94,Yes,4,No
TKT00015228,CUST029973,2025-06-23,Delivery Problem,Chat,Medium,5.6,Yes,5,No
TKT00029900,CUST018429,2026-03-08,Delivery Problem,Phone,Medium,8.83,Yes,3,No
TKT00032159,CUST021287,2026-03-14,Prime Video Issue,Phone,Medium,10.75,Yes,4,No
TKT00024653,CUST009339,2026-03-22,Payment Failure,Phone,Critical,9.57,Yes,3,No
TKT00017450,CUST010915,2026-05-18,Prime Video Issue,Help Center,Low,11.13,Yes,3,No
TKT00016886,CUST036015,2025-09-04,General Question,Phone,Medium,3.95,Yes,4,No
TKT00029093,CUST017945,2025-12-20,Refund Request,Phone,Low,19.77,Yes,5,No
TKT00033546,CUST038759,2026-05-04,Membership Billing,Email,Low,2.38,Yes,3,No
TKT00029234,CUST043745,2026-06-30,Refund Request,Phone,High,1.31,Yes,5,No
TKT00006832,CUST013892,2025-12-29,Cancellation Request,Email,High,21.08,Yes,3,No
TKT00023341,CUST030151,2025-08-26,Membership Billing,Chat,Low,12.61,Yes,4,No
TKT00028297,CUST029012,2026-06-07,Delivery Problem,Phone,Medium,5.91,Yes,5,No
TKT00031035,CUST045336,2026-06-23,Payment Failure,Chat,Critical,38.58,Yes,3,No
TKT00002271,CUST042760,2026-06-14,Prime Video Issue,Social Media,High,5.3,Yes,4,No
TKT00011875,CUST028199,2025-06-30,Refund Request,Help Center,Low,23.67,Yes,3,Yes
TKT00014412,CUST007658,2025-08-08,Refund Request,Chat,Medium,4.53,Yes,4,No
TKT00008413,CUST000259,2025-10-01,Refund Request,Chat,Medium,5.27,Yes,3,No
TKT00023548,CUST026071,2025-04-05,Cancellation Request,Chat,High,19.22,Yes,2,No
TKT00015677,CUST004210,2025-07-27,Payment Failure,Phone,Critical,3.91,Yes,3,No
TKT00021998,CUST010176,2025-09-19,Membership Billing,Chat,High,18.59,Yes,4,No
TKT00021511,CUST031182,2026-03-27,General Question,Chat,Medium,11.22,Yes,3,No
TKT00018602,CUST005782,2026-06-26,Account Access,Phone,High,7.02,Yes,4,No
TKT00033745,CUST009005,2025-02-03,Payment Failure,Chat,Medium,12.84,Yes,3,No
TKT00028655,CUST020932,2025-09-13,Prime Video Issue,Phone,Low,20.37,Yes,3,Yes
TKT00025706,CUST001832,2025-08-11,Membership Billing,Chat,Low,56.47,Yes,4,No
TKT00027025,CUST044580,2024-12-19,General Question,Help Center,Low,7.34,Yes,4,No
TKT00030432,CUST000878,2026-05-21,Delivery Problem,Social Media,Low,,No,,No
TKT00018940,CUST040806,2026-01-06,Membership Billing,Chat,Medium,10.38,Yes,3,No
TKT00026085,CUST005452,2025-09-27,Refund Request,Phone,Low,47.84,Yes,5,No
TKT00027839,CUST004966,2025-02-02,Delivery Problem,Email,Medium,,No,,No
TKT00005261,CUST031876,2026-05-01,Payment Failure,Help Center,High,7.41,Yes,5,No
TKT00011291,CUST022629,2026-06-12,Delivery Problem,Chat,Medium,9.86,Yes,4,No
TKT00024059,CUST046528,2026-03-13,Delivery Problem,Phone,High,,No,,No
TKT00033464,CUST044398,2024-09-13,General Question,Help Center,Medium,3.14,Yes,3,No
TKT00034128,CUST015047,2025-06-04,Cancellation Request,Help Center,High,13.07,Yes,3,No
TKT00021661,CUST013249,2026-04-08,Prime Video Issue,Social Media,Low,1.86,Yes,5,No
TKT00021977,CUST042304,2026-03-22,General Question,Help Center,Medium,10.31,Yes,4,No
TKT00033105,CUST005353,2025-07-24,Delivery Problem,Phone,Medium,3.86,Yes,4,No
TKT00001482,CUST018035,2026-04-07,Cancellation Request,Chat,High,15.41,Yes,3,Yes
TKT00005988,CUST031394,2025-05-19,Account Access,Help Center,Low,2.34,Yes,4,Yes
TKT00017668,CUST004092,2026-06-25,Prime Video Issue,Email,Low,33.72,Yes,4,No
TKT00010479,CUST011843,2025-09-17,Delivery Problem,Email,Low,42.28,Yes,2,No
TKT00015965,CUST017418,2025-12-21,Membership Billing,Social Media,Low,14.94,Yes,4,No
TKT00019601,CUST034948,2026-01-10,Delivery Problem,Chat,High,10.28,Yes,4,No
TKT00032382,CUST006702,2026-03-27,Delivery Problem,Chat,Medium,5.16,Yes,4,Yes
TKT00013157,CUST032345,2026-13-05,Prime Video Issue,Chat,Medium,11.8,Yes,3,No
TKT00015278,CUST028385,2026-05-30,General Question,Phone,Medium,7.55,Yes,4,No
TKT00003903,CUST042518,2025-11-15,General Question,Email,Medium,16.99,Yes,4,No
TKT00021617,CUST010448,2026-02-22,Refund Request,Phone,Medium,5.47,Yes,2,No
TKT00022088,CUST013868,2026-02-10,Cancellation Request,Chat,High,,No,,Yes
TKT00003998,CUST012809,2026-01-23,General Question,Phone,Low,2.41,Yes,4,No
TKT00012949,CUST038429,2026-02-07,Delivery Problem,Phone,Medium,5.24,Yes,4,No
TKT00033494,CUST043645,2025-03-09,Refund Request,Chat,Low,44.36,Yes,2,No
TKT00013153,CUST013755,2026-03-30,Refund Request,Social Media,Medium,34.31,Yes,3,No
TKT00022147,CUST042319,2026-04-24,Cancellation Request,Phone,High,5.19,Yes,2,Yes
TKT00026576,CUST037698,2026-04-10,Cancellation Request,Chat,High,6.31,Yes,4,No
TKT00028029,CUST040507,2025-04-30,Payment Failure,Chat,High,14.76,Yes,3,No
TKT00004861,CUST037880,2026-04-08,Membership Billing,Phone,Low,54.39,Yes,3,No
TKT00010775,CUST026776,2026-05-16,Membership Billing,Help Center,High,9.84,Yes,3,No
TKT00031679,CUST036216,2026-01-22,Cancellation Request,Chat,Medium,13.27,Yes,3,No
TKT00023945,CUST031440,2025-11-24,Cancellation Request,Email,Medium,14.37,Yes,3,No
TKT00004947,CUST028827,2025-11-10,Cancellation Request,Phone,High,10.57,Yes,4,No
TKT00014430,CUST040917,2026-06-14,General Question,Chat,Low,,No,,No
TKT00011206,CUST041578,2026-04-18,Prime Video Issue,Chat,Medium,4.9,Yes,4,No
TKT00034783,CUST020643,2026-03-15,Account Access,Email,Medium,4.32,Yes,4,No
TKT00014553,CUST007213,2024-08-14,Refund Request,Chat,Medium,10.62,Yes,4,No
TKT00026187,CUST028230,2025-02-06,Delivery Problem,Chat,Low,27.02,Yes,4,No
TKT00012148,CUST005878,2026-02-05,Cancellation Request,Chat,Medium,6.48,Yes,2,No
TKT00022331,CUST020661,2025-06-27,General Question,Help Center,Low,7.24,Yes,3,Yes
TKT00025650,CUST045050,2025-04-13,Prime Video Issue,Help Center,High,2.1,Yes,3,No
TKT00010374,CUST040928,2025-11-21,Delivery Problem,Email,Low,8.05,Yes,3,No
TKT00031025,CUST037464,2026-04-07,Delivery Problem,Chat,Low,6.05,Yes,3,No
TKT00025450,CUST023908,2025-10-17,Payment Failure,Help Center,High,18.41,Yes,3,Yes
TKT00012913,CUST036947,2026-03-31,Membership Billing,Phone,Medium,23.94,Yes,3,No
TKT00014757,CUST009682,2025-07-26,Membership Billing,e-mail,Low,4.7,Yes,3,No
TKT00029931,CUST040139,2025-08-21,General Question,Chat,High,19.69,Yes,3,No
TKT00001250,CUST006271,2025-06-16,Membership Billing,Chat,Medium,18.33,Yes,3,No
TKT00001221,CUST006813,2026-06-05,Membership Billing,Email,Low,3.3,Yes,4,No
TKT00024910,CUST019034,2024-10-16,General Question,Chat,Low,6.59,Yes,4,No
TKT00032830,CUST039783,2026-04-19,Prime Video Issue,Help Center,Medium,11.33,Yes,3,No
TKT00000928,CUST023741,2026-04-15,Refund Request,Help Center,Low,4.53,Yes,3,No
TKT00022926,CUST048368,2026-05-05,Membership Billing,Email,Medium,8.54,Yes,4,No
TKT00023798,CUST024171,2026-01-18,Membership Billing,Social Media,Low,1.88,Yes,3,No
TKT00008876,CUST029472,2025-11-12,General Question,Social Media,High,19.73,Yes,4,Yes
TKT00028183,CUST036758,2025-01-28,Delivery Problem,Phone,Medium,4.29,Yes,3,No
TKT00027406,CUST035853,2026-06-30,General Question,Help Center,Low,11.66,Yes,3,No
TKT00021726,CUST033139,2026-03-18,Refund Request,Phone,High,13.32,Yes,3,No
TKT00031543,CUST046551,2026-05-07,Cancellation Request,Help Center,High,4.54,Yes,5,No
TKT00011517,CUST036810,2025-12-14,Cancellation Request,Help Center,Low,2.54,Yes,2,No
TKT00004090,CUST024714,2025-09-24,Delivery Problem,Help Center,Low,3.44,Yes,3,No
TKT00007254,CUST009182,2025-11-30,Refund Request,Phone,Low,15.73,Yes,4,No
TKT00016014,CUST040568,2025-04-03,Refund Request,Help Center,Medium,8.77,Yes,4,No
TKT00032859,CUST037965,2026-01-02,Refund Request,Email,Low,,No,,Yes
TKT00022244,CUST009913,2026-01-03,General Question,Email,Medium,58.23,Yes,2,No
TKT00024194,CUST002826,2025-12-20,Delivery Problem,Chat,Low,7.98,Yes,3,No
TKT00015084,CUST037661,2025-05-22,Payment Failure,Chat,Low,13.22,Yes,3,No
TKT00018943,CUST049045,2026-03-14,Cancellation Request,Help Center,Low,2.79,Yes,4,No
TKT00028636,CUST036001,2026-06-11,Membership Billing,Chat,Medium,25.14,Yes,4,No
TKT00027466,CUST039471,2025-06-08,Refund Request,Help Center,Medium,7.66,Yes,3,No
TKT00034801,CUST023620,2025-08-03,Membership Billing,Email,Medium,38.32,Yes,5,No
TKT00010215,CUST026101,2025-04-03,Delivery Problem,Phone,High,11.18,Yes,4,No
TKT00019385,CUST027455,2026-02-13,Refund Request,Phone,Low,7.59,Yes,4,No
TKT00003829,CUST017813,2025-07-12,Account Access,Help Center,Low,4.08,Yes,5,No
TKT00017432,CUST030074,2026-03-30,Refund Request,Phone,Medium,8.4,Yes,3,No
TKT00000753,CUST020919,2026-06-08,Account Access,Phone,Medium,7.5,Yes,4,No
TKT00031253,CUST010978,2026-03-07,Prime Video Issue,Chat,Low,5.27,Yes,3,No
TKT00023963,CUST017957,2026-02-17,Delivery Problem,Chat,High,4.31,Yes,3,No
TKT00017756,CUST003558,2026-03-13,General Question,Chat,High,4.06,Yes,3,Yes
TKT00032408,CUST016207,2025-01-27,Refund Request,Help Center,High,9.51,Yes,3,No
TKT00000182,CUST041689,2026-01-28,Membership Billing,Help Center,Low,37.08,Yes,2,No
TKT00024762,CUST002460,2025-06-03,Account Access,Chat,Medium,10.16,Yes,4,No
TKT00034706,CUST004152,2025-05-12,General Question,Email,Medium,6.52,Yes,5,No
TKT00033386,CUST008994,2025-12-25,Delivery Problem,Chat,Medium,13.76,Yes,3,Yes
TKT00023783,CUST049002,2026-05-20,Membership Billing,Email,Medium,9.94,Yes,2,No
TKT00013031,CUST020751,2025-03-23,Refund Request,Phone,Low,,No,,Yes
TKT00003288,CUST032035,2026-01-26,Delivery Problem,Help Center,Medium,1.72,Yes,3,No
TKT00030553,CUST034090,2026-06-07,Prime Video Issue,Chat,Medium,2.85,Yes,3,Yes
TKT00033969,CUST018994,2026-06-18,General Question,Chat,Medium,1.82,Yes,4,No
TKT00010672,CUST010507,2025-05-21,Cancellation Request,Phone,Low,8.36,Yes,4,No
TKT00028660,CUST044525,2026-03-26,Payment Failure,Chat,Low,16.58,Yes,4,No
TKT00001988,CUST036271,2026-01-22,General Question,Chat,Medium,,No,,No
TKT00015928,CUST039541,2025-12-24,Account Access,Email,Low,2.75,Yes,3,No
TKT00001491,CUST035638,2025-03-01,Prime Video Issue,Phone,Medium,,No,,No
TKT00008457,CUST029532,2025-10-14,Refund Request,Phone,High,9.05,Yes,4,No
TKT00023752,CUST023306,2026-05-22,Prime Video Issue,Email,Medium,5.24,Yes,4,No
TKT00021303,CUST035988,2025-06-25,Payment Failure,Chat,Medium,5.67,Yes,4,No
TKT00018982,CUST023386,2024-10-20,Delivery Problem,Social Media,Medium,11.81,Yes,3,Yes
TKT00014495,CUST012562,2025-08-04,Membership Billing,Phone,Low,4.02,Yes,4,No
TKT00029210,CUST017433,2025-07-01,Prime Video Issue,Chat,High,2.83,Yes,4,No
TKT00015989,CUST006264,2026-03-13,Refund Request,Chat,Medium,3.09,Yes,5,No
TKT00017247,CUST011696,2026-06-27,Delivery Problem,Email,Medium,,No,,Yes
TKT00011088,CUST049159,2026-03-01,General Question,Phone,High,5.04,Yes,4,No
TKT00019697,CUST042111,2025-10-23,General Question,Phone,Medium,10.44,Yes,4,No
TKT00013310,CUST001624,2025-09-02,Prime Video Issue,Email,Medium,5.91,Yes,4,No
TKT00020987,CUST019719,2026-02-02,Cancellation Request,Email,Critical,4.12,Yes,3,No
TKT00009631,CUST010995,2026-03-19,Membership Billing,Chat,High,11.11,Yes,4,No
TKT00007630,CUST012798,2026-01-20,General Question,Chat,Medium,26.58,Yes,3,No
TKT00021923,CUST001109,2025-06-30,Cancellation Request,Phone,Medium,25.71,Yes,3,No
TKT00015913,CUST030959,2026-05-04,Delivery Problem,Email,Low,11.05,Yes,4,No
TKT00013837,CUST002346,2025-06-17,Delivery Problem,Chat,Medium,,No,,Yes
TKT00009781,CUST003850,2026-04-07,Membership Billing,Phone,High,1.59,Yes,3,No
TKT00022536,CUST005711,2026-04-15,Prime Video Issue,Social Media,Medium,6.88,Yes,3,No
TKT00027410,CUST013763,2025-04-16,Membership Billing,Chat,High,25.49,Yes,4,No
TKT00028892,CUST011843,2026-03-12,Account Access,Phone,High,4.79,Yes,4,No
TKT00023281,CUST009568,2024-10-26,Refund Request,Chat,Medium,19.78,Yes,3,No
TKT00000332,CUST049954,2026-01-06,Payment Failure,Email,Medium,2.05,Yes,3,No
TKT00027415,CUST041026,2026-06-21,Prime Video Issue,Chat,High,8.88,Yes,4,No
TKT00020123,CUST003256,2025-03-29,Payment Failure,Help Center,High,,No,,No
TKT00002411,CUST046405,2025-05-05,Refund Request,Help Center,Low,33.95,Yes,2,No
TKT00029448,CUST008686,2026-06-28,General Question,Chat,Medium,2.3,Yes,3,No
TKT00032397,CUST028829,2026-03-25,Account Access,Email,Medium,8.52,Yes,3,No
TKT00020475,CUST025697,2026-05-28,Prime Video Issue,Phone,Low,26.41,Yes,2,No
TKT00033770,CUST035864,2026-06-27,Account Access,Chat,High,1.9,Yes,4,No
TKT00033250,CUST028943,2025-09-27,Account Access,Phone,Low,17.18,Yes,3,No
TKT00008139,CUST028993,2026-04-03,General Question,Chat,Medium,15.75,Yes,5,No
TKT00009828,CUST013222,2025-02-15,Refund Request,Chat,High,11.61,Yes,2,No
TKT00001460,CUST049920,2026-03-31,General Question,Help Center,Medium,12.35,Yes,4,No
TKT00002247,CUST008788,2025-07-23,Cancellation Request,Help Center,Critical,2.09,Yes,4,No
TKT00019634,CUST029979,2025-05-15,Delivery Problem,Help Center,Low,12.37,Yes,3,No
TKT00005861,CUST020378,2025-11-13,Refund Request,Phone,Medium,3.15,Yes,4,No
TKT00003096,CUST008380,2026-04-27,Refund Request,Chat,Medium,2.8,Yes,3,No
TKT00026697,CUST027892,2025-08-24,Cancellation Request,Phone,Medium,4.03,Yes,4,No
TKT00027157,CUST041067,2026-04-20,Payment Failure,Email,High,14.31,Yes,3,No
TKT00009392,CUST035517,2025-11-09,Membership Billing,Phone,Medium,31.92,Yes,4,Yes
TKT00024902,CUST031919,2025-04-01,General Question,Chat,Medium,4.13,Yes,4,No
TKT00020120,CUST041892,2026-04-26,Cancellation Request,Phone,Medium,16.41,Yes,3,No
TKT00032353,CUST022009,2026-06-29,Delivery Problem,Email,Medium,2.94,Yes,3,No
TKT00013282,CUST006236,2026-04-24,Account Access,Chat,Low,3.91,Yes,3,No
TKT00019784,CUST000588,2025-10-25,Cancellation Request,Email,Low,12.46,Yes,3,No
TKT00034152,CUST026582,2024-11-12,Membership Billing,Email,Medium,9.26,Yes,4,No
TKT00024133,CUST039634,2026-01-22,Delivery Problem,Chat,High,3.77,Yes,4,No
TKT00027982,CUST014833,2025-11-16,Delivery Problem,Chat,High,21.77,Yes,1,No
TKT00024398,CUST033367,2026-02-19,Delivery Problem,Email,Low,36.6,Yes,3,No
TKT00013504,CUST008249,2026-04-11,Delivery Problem,Help Center,Medium,2.3,Yes,4,No
TKT00004244,CUST014907,2025-10-27,Prime Video Issue,Help Center,Low,11.93,Yes,4,No
TKT00014123,CUST012570,2026-05-07,Delivery Problem,Email,High,7.32,Yes,4,No
TKT00014644,CUST017264,2026-03-30,Cancellation Request,Chat,Medium,14.68,Yes,3,Yes
TKT00007809,CUST037420,2026-06-10,Prime Video Issue,Phone,High,21.83,Yes,3,Yes
TKT00022742,CUST002723,2026-01-18,Refund Request,Chat,High,,No,,Yes
TKT00006406,CUST005403,2026-01-24,Refund Request,Chat,Low,7.35,Yes,3,Yes
TKT00026596,CUST026937,2025-06-03,Membership Billing,Help Center,Low,14.08,Yes,3,No
TKT00033625,CUST035470,2026-06-03,Payment Failure,Social Media,High,8.01,Yes,4,No
TKT00007841,CUST047613,2025-10-18,Cancellation Request,Help Center,Critical,3.98,Yes,4,No
TKT00032505,CUST033401,2026-02-27,Delivery Problem,Help Center,Medium,3.3,Yes,3,No
TKT00030604,CUST040617,2026-04-30,Refund Request,Chat,High,5.73,Yes,4,No
TKT00021675,CUST022302,2025-06-04,Prime video issue,Social Media,Medium,11.55,Yes,3,No
TKT00003360,CUST001463,2026-03-24,Refund Request,Social Media,Low,11.45,Yes,3,No
TKT00034456,CUST019939,2026-03-19,Cancellation Request,Chat,Medium,53.18,Yes,2,No
TKT00033824,CUST015264,2026-01-09,Payment Failure,Social Media,Medium,32.25,Yes,3,No
TKT00020933,CUST027720,2026-01-24,Payment Failure,Chat,High,3.53,Yes,5,No
TKT00008288,CUST047912,2025-11-11,Prime Video Issue,Chat,Low,7.99,Yes,3,No
TKT00006784,CUST031138,2026-05-10,Payment Failure,Email,High,3.19,Yes,4,No
TKT00020443,CUST012883,2026-05-31,General Question,Help Center,Medium,3.51,Yes,5,No
TKT00006789,CUST013508,2025-10-25,General Question,Chat,Medium,8.24,Yes,2,Yes
TKT00025873,CUST044981,2025-10-13,Cancellation Request,Help Center,High,6.81,Yes,5,No
TKT00030462,CUST041533,2026-05-31,Delivery Problem,Chat,Low,19.83,Yes,4,No
TKT00018001,CUST014203,2025-03-21,Membership Billing,Chat,Low,,No,,No
